domain_length,domain_num_of_unique_char,domain_num_of_unique_letters,domain_num_of_unique_numbers,ratio_of_letters_of_domain_name,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,entropy,vowel_consonant_ratio,dict_ratio,domain_class
8,5,3,2,0.5,0.5,0.6,0.4,2.25,0.99999950000025,0.0,legit
7,5,3,2,0.42857142857142855,0.5714285714285714,0.6,0.4,2.2359263506290326,0.0,0.0,legit
10,8,6,2,0.6,0.4,0.75,0.25,2.9219280948873623,0.9999996666667778,0.0,legit
9,6,4,2,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333,2.5032583347756456,0.6666664444445185,0.0,legit
7,4,2,2,0.42857142857142855,0.5714285714285714,0.5,0.5,1.9502120649147467,0.499999750000125,0.0,legit
13,8,6,2,0.6923076923076923,0.3076923076923077,0.75,0.25,2.873140679513133,1.249999687500078,0.0,legit
13,8,6,2,0.6923076923076923,0.3076923076923077,0.75,0.25,2.873140679513133,1.249999687500078,0.0,legit
9,7,5,2,0.5555555555555556,0.4444444444444444,0.7142857142857143,0.2857142857142857,2.725480556997868,0.6666664444445185,0.0,legit
10,7,5,2,0.6,0.4,0.7142857142857143,0.2857142857142857,2.721928094887362,0.9999996666667778,0.0,legit
14,10,8,2,0.7142857142857143,0.2857142857142857,0.8,0.2,3.2359263506290326,0.24999996875000394,0.0,legit
7,5,3,2,0.42857142857142855,0.5714285714285714,0.6,0.4,2.2359263506290326,0.499999750000125,0.0,legit
27,14,10,4,0.5185185185185185,0.48148148148148145,0.7142857142857143,0.2857142857142857,3.485825927849009,0.07692307100591762,0.0,dga
25,20,13,7,0.56,0.44,0.65,0.35,4.243856189774725,0.16666665277777895,0.0,dga
27,20,15,5,0.7037037037037037,0.2962962962962963,0.75,0.25,4.208410187268525,0.18749998828125072,0.0,dga
10,8,6,2,0.7,0.3,0.75,0.25,2.9219280948873623,0.399999920000016,0.0,legit
10,8,6,2,0.7,0.3,0.75,0.25,2.9219280948873623,0.399999920000016,0.0,legit
13,9,7,2,0.7692307692307693,0.23076923076923078,0.7777777777777778,0.2222222222222222,3.0269868333592873,0.4285713673469475,0.0,legit
15,11,9,2,0.8,0.2,0.8181818181818182,0.18181818181818182,3.3735572622751855,0.4999999375000079,0.0,legit
11,9,7,2,0.7272727272727273,0.2727272727272727,0.7777777777777778,0.2222222222222222,3.095795255000934,0.599999880000024,0.0,legit
11,9,7,2,0.7272727272727273,0.2727272727272727,0.7777777777777778,0.2222222222222222,3.095795255000934,0.599999880000024,0.0,legit
17,11,9,2,0.8235294117647058,0.17647058823529413,0.8181818181818182,0.18181818181818182,3.3371753411230767,0.7499999062500118,0.0,legit
8,6,4,2,0.625,0.375,0.6666666666666666,0.3333333333333333,2.5,0.6666664444445185,0.0,legit
27,19,12,7,0.5555555555555556,0.4444444444444444,0.631578947368421,0.3684210526315789,4.088220835496801,0.3636363305785154,0.0,dga
8,7,5,2,0.625,0.375,0.7142857142857143,0.2857142857142857,2.75,0.24999993750001562,0.0,legit
28,17,11,6,0.5714285714285714,0.42857142857142855,0.6470588235294118,0.35294117647058826,3.9232517969803373,0.06666666222222252,0.0,dga
15,10,8,2,0.8,0.2,0.8,0.2,3.1898980954642875,0.4999999375000079,0.0,legit
12,9,7,2,0.75,0.25,0.7777777777777778,0.2222222222222222,3.084962500721156,0.799999840000032,0.0,legit
8,7,5,2,0.625,0.375,0.7142857142857143,0.2857142857142857,2.75,0.24999993750001562,0.0,legit
27,18,12,6,0.5925925925925926,0.4074074074074074,0.6666666666666666,0.3333333333333333,4.014146761422728,0.9999998750000157,0.0,dga
8,6,4,2,0.625,0.375,0.6666666666666666,0.3333333333333333,2.5,0.6666664444445185,0.0,legit
10,8,6,2,0.6,0.3,0.75,0.25,3.1219280948873624,0.9999996666667778,0.0,legit
19,11,9,2,0.8421052631578947,0.15789473684210525,0.8181818181818182,0.18181818181818182,3.300559092390954,0.4545454132231443,0.0,legit
16,12,10,2,0.8125,0.1875,0.8333333333333334,0.16666666666666666,3.452819531114783,0.6249999218750099,0.0,legit
17,11,9,2,0.8235294117647058,0.17647058823529413,0.8181818181818182,0.18181818181818182,3.381580488309163,0.39999996000000404,0.0,legit
28,17,10,7,0.4642857142857143,0.5357142857142857,0.5882352941176471,0.4117647058823529,3.7943360657504512,0.1818181652892577,0.0,dga
16,11,9,2,0.8125,0.1875,0.8181818181818182,0.18181818181818182,3.327819531114783,0.6249999218750099,0.0,legit
8,7,5,2,0.625,0.375,0.7142857142857143,0.2857142857142857,2.75,1.499999250000375,0.0,legit
25,17,11,6,0.64,0.36,0.6470588235294118,0.35294117647058826,3.9238561897747246,0.14285713265306196,0.0,dga
8,6,4,2,0.625,0.375,0.6666666666666666,0.3333333333333333,2.5,1.499999250000375,0.0,legit
11,8,6,2,0.7272727272727273,0.2727272727272727,0.75,0.25,2.913977073182752,0.599999880000024,0.0,legit
9,7,5,2,0.5555555555555556,0.4444444444444444,0.7142857142857143,0.2857142857142857,2.725480556997868,0.6666664444445185,0.0,legit
25,18,13,5,0.72,0.28,0.7222222222222222,0.2777777777777778,4.053660689688186,0.05882352595155729,0.0,dga
27,20,13,7,0.5925925925925926,0.4074074074074074,0.65,0.35,4.162294909570876,0.3333333055555579,0.0,dga
27,17,11,6,0.5555555555555556,0.4444444444444444,0.6470588235294118,0.35294117647058826,3.9121138909722286,0.6666665925926009,0.0,dga
27,17,12,5,0.5925925925925926,0.4074074074074074,0.7058823529411765,0.29411764705882354,3.8524975771041987,0.23076921301775286,0.0,dga
26,19,14,5,0.6153846153846154,0.38461538461538464,0.7368421052631579,0.2631578947368421,4.085055102756477,0.23076921301775286,0.0,dga
